scorer,lang,n,accuracy,ci_low,ci_high,parse_fail_rate,kappa_letter_gen
LETTER,en,200,0.44,0.375,0.5101249999999993,,
LETTER,zh,200,0.465,0.395,0.535,,
LETTER,sw,200,0.265,0.205,0.32512499999999933,,
