lang,n,acc_en,acc_lang,diff,paired_ci_low,paired_ci_high,n_en_only_correct,n_lang_only_correct,agreement_rate
de,200,0.44,0.41,-0.030000000000000027,-0.11499999999999999,0.050000000000000044,38,32,0.515
zh,200,0.44,0.465,0.025000000000000022,-0.05499999999999999,0.10499999999999998,28,33,0.585
ar,200,0.44,0.32,-0.12,-0.20500000000000002,-0.040000000000000036,49,25,0.515
hi,200,0.44,0.28,-0.15999999999999998,-0.245,-0.08500000000000002,50,18,0.46
id,200,0.44,0.355,-0.08500000000000002,-0.15999999999999998,-0.010000000000000009,38,21,0.555
sw,200,0.44,0.265,-0.175,-0.25,-0.10000000000000003,50,15,0.465
yo,200,0.44,0.24,-0.2,-0.28,-0.125,57,17,0.47
