lang,n_cs,n_ca,acc_cs,acc_ca,gap,unpaired_ci_low,unpaired_ci_high,detectable
en,100,100,0.4,0.48,-0.07999999999999996,-0.21999999999999997,0.06,False
de,100,100,0.39,0.43,-0.03999999999999998,-0.16999999999999998,0.09999999999999998,False
zh,100,100,0.47,0.46,0.009999999999999953,-0.13,0.15000000000000002,False
ar,100,100,0.28,0.36,-0.07999999999999996,-0.21,0.050000000000000044,False
hi,100,100,0.29,0.27,0.019999999999999962,-0.10025000000000002,0.14,False
id,100,100,0.32,0.39,-0.07,-0.20024999999999998,0.06,False
sw,100,100,0.26,0.27,-0.010000000000000009,-0.13999999999999999,0.11000000000000001,False
yo,100,100,0.21,0.27,-0.060000000000000026,-0.18,0.060000000000000026,False
