timestamp | command | chip | macos | torch | device | dtype | batch_size_final | model | model_sha | lang | scorer | variant | n_items | wall_sec | items_per_sec
2026-08-27T17:58:48 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang id --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | id | LETTER | v1_en | 400 | 3.5 | 114.07
2026-08-27T17:58:58 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang sw --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | sw | LETTER | v1_en | 400 | 4.0 | 98.84
2026-08-27T17:59:09 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang yo --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | yo | LETTER | v1_en | 400 | 5.7 | 70.39
2026-08-27T17:59:18 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang en --scorer LETTER --variant perm_ABCD | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | en | LETTER | perm_ABCD | 400 | 2.9 | 140.18
2026-08-27T17:59:27 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang en --scorer LETTER --variant perm_BCDA | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | en | LETTER | perm_BCDA | 400 | 2.9 | 140.31
2026-08-27T17:59:35 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang en --scorer LETTER --variant perm_CDAB | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | en | LETTER | perm_CDAB | 400 | 2.9 | 139.54
2026-08-27T17:59:45 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang en --scorer LETTER --variant perm_DABC | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | en | LETTER | perm_DABC | 400 | 3.5 | 114.37
2026-08-27T17:59:54 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang zh --scorer LETTER --variant perm_ABCD | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | zh | LETTER | perm_ABCD | 400 | 3.7 | 109.03
2026-08-27T18:00:02 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang zh --scorer LETTER --variant perm_BCDA | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | zh | LETTER | perm_BCDA | 400 | 2.8 | 140.54
2026-08-27T18:00:11 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang zh --scorer LETTER --variant perm_CDAB | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | zh | LETTER | perm_CDAB | 400 | 3.1 | 130.63
2026-08-27T18:00:20 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang zh --scorer LETTER --variant perm_DABC | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | zh | LETTER | perm_DABC | 400 | 2.8 | 141.2
2026-08-27T18:00:33 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang hi --scorer LETTER --variant perm_ABCD | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | hi | LETTER | perm_ABCD | 400 | 7.6 | 52.55
2026-08-27T18:00:47 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang hi --scorer LETTER --variant perm_BCDA | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | hi | LETTER | perm_BCDA | 400 | 7.6 | 52.49
2026-08-27T18:01:01 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang hi --scorer LETTER --variant perm_CDAB | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | hi | LETTER | perm_CDAB | 400 | 7.7 | 52.21
2026-08-27T18:01:16 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang hi --scorer LETTER --variant perm_DABC | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | hi | LETTER | perm_DABC | 400 | 8.3 | 48.22
2026-08-27T18:01:26 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang sw --scorer LETTER --variant perm_ABCD | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | sw | LETTER | perm_ABCD | 400 | 4.9 | 81.74
2026-08-27T18:01:36 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang sw --scorer LETTER --variant perm_BCDA | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | sw | LETTER | perm_BCDA | 400 | 4.1 | 98.43
2026-08-27T18:01:46 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang sw --scorer LETTER --variant perm_CDAB | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | sw | LETTER | perm_CDAB | 400 | 4.9 | 82.09
