lang,acc_ABCD,acc_BCDA,acc_CDAB,acc_DABC,mean,std,consistency_rate,frac_pred_A,frac_pred_B,frac_pred_C,frac_pred_D
en,0.485,0.4875,0.46,0.5125,0.48624999999999996,0.018582585934148108,0.33,0.295625,0.348125,0.18625,0.17
zh,0.47,0.45,0.4325,0.45,0.450625,0.013272975363497055,0.285,0.33625,0.309375,0.18,0.174375
hi,0.31,0.295,0.27,0.2925,0.291875,0.01429324578253658,0.0525,0.279375,0.54,0.1175,0.063125
sw,0.26,0.31,0.2675,0.27,0.27687500000000004,0.019475545563603598,0.0225,0.383125,0.4375,0.164375,0.015
