tokenizer,lang,n_items,mean_tokens,tokens_per_char,tokens_per_word,frac_partial_char_tokens
qwen2.5,en,400,85.7125,0.2112250870221483,1.3139035793669043,0.0008750182295464489
qwen2.5,de,400,135.54,0.286629659000793,2.0879611800046214,0.00025822635384388374
qwen2.5,zh,400,82.52,0.6381070213424065,,0.02756907416383907
qwen2.5,ar,400,128.755,0.37993994968757605,2.2886726214282542,0.0036115102326123257
qwen2.5,hi,400,360.8225,0.9186318127716994,4.9296058473939475,0.5093363080184855
qwen2.5,id,400,128.9775,0.3020762582851254,2.236087031900139,7.753290302572154e-05
qwen2.5,sw,400,164.0975,0.3934271962790475,2.544739086609289,0.00015234845137799175
qwen2.5,yo,400,253.6425,0.6347330488857748,3.234101558764464,0.06953684812285008
qwen3,en,400,85.7125,0.2112250870221483,1.3139035793669043,0.0008750182295464489
qwen3,de,400,135.54,0.286629659000793,2.0879611800046214,0.00025822635384388374
qwen3,zh,400,82.52,0.6381070213424065,,0.02756907416383907
qwen3,ar,400,128.755,0.37993994968757605,2.2886726214282542,0.0036115102326123257
qwen3,hi,400,360.8225,0.9186318127716994,4.9296058473939475,0.5093363080184855
qwen3,id,400,128.9775,0.3020762582851254,2.236087031900139,7.753290302572154e-05
qwen3,sw,400,164.0975,0.3934271962790475,2.544739086609289,0.00015234845137799175
qwen3,yo,400,253.6425,0.6347330488857748,3.234101558764464,0.06953684812285008
smollm2,en,400,88.12,0.21715799525613777,1.3508086150072813,0.001219927371765774
smollm2,de,400,180.1825,0.3810362146444621,2.7756681814680735,0.005452804795138263
smollm2,zh,400,214.8325,1.6612472935354161,,0.768051854351646
smollm2,ar,400,319.105,0.9416390636872662,5.672221481580234,0.31879005343068895
smollm2,hi,400,424.4275,1.0805662166720769,5.798585968986953,0.47186504173268695
smollm2,id,400,163.205,0.382239970021313,2.829490291262136,0.0003216813210379584
smollm2,sw,400,179.49,0.430331037707011,2.7834380088392647,0.00034820881386149645
smollm2,yo,400,323.4925,0.8095306615282591,4.124733033693539,0.3449848141765265
