lang,n,acc_qwen25,acc_qwen3,diff,paired_ci_low,paired_ci_high,unpaired_overlap,n_qwen25_only_correct,n_qwen3_only_correct,mdd_95
en,400,0.485,0.5025,0.01749999999999996,-0.03999999999999998,0.07499999999999996,True,65,72,0.057353029562526164
de,400,0.4275,0.45,0.02250000000000002,-0.034999999999999976,0.07750000000000001,True,61,70,0.056083063397072024
zh,400,0.47,0.49,0.020000000000000018,-0.03500000000000003,0.07500000000000001,True,55,63,0.05322762440688106
ar,400,0.33,0.3625,0.03249999999999997,-0.02250000000000002,0.09000000000000002,True,60,73,0.0565095567138869
hi,400,0.31,0.335,0.025000000000000022,-0.03256250000000002,0.08000000000000002,True,62,72,0.05672160082367211
id,400,0.385,0.47,0.08499999999999996,0.02999999999999997,0.14250000000000002,True,50,84,0.05672160082367211
sw,400,0.26,0.26,0.0,-0.05000000000000002,0.05499999999999999,True,58,58,0.05277461510991814
yo,400,0.2775,0.2775,0.0,-0.057499999999999996,0.06,True,72,72,0.0588
